Start,Finish,Conflict,Victorious party,Defeated party
1816,1816,Bussa's Rebellion,British Empire,
1816,1820,Portuguese conquest of the Banda Oriental,"United Kingdom of Portugal, Brazil and the Algarves","Banda Oriental, Entre Ríos Province, Misiones Province"
1816,1857,Afaqi Khoja revolts,"Qing dynasty, Qing Dynasty","Khoja (Turkestan), Kokand Khanate"
1817,1817,Pernambucan Revolt,Portuguese Empire,borber
1817,1818,Third Anglo-Maratha War,British East India Company,Maratha Empire
1817,1818,First Seminole War,United States,Seminole
1817,1819,Ndwandwe–Zulu War,Shaka,Zwide kaLanga
1817,1826,Burmese invasions of Assam,Konbaung Dynasty,"Kingdom of Ahom, Manipur (princely state)"
1817,1864,Caucasian War,Russian Empire,"Avar Khanate, Circassia, Kingdom of Kartli-Kakheti, Caucasian Imamate, North Caucasus"
1818,1819,Fifth Xhosa War,"British Empire, Khoikhoi",Xhosa people
1818,1828,Zulu wars of conquest,Zulu Kingdom,Mtetwa Paramountcy
1819,1820,Bolívar's campaign to liberate New Granada,United Provinces of New Granada,"Spain, Mid-nineteenth century Spain"
1820,1820,Ferdinand I of the Two Sicilies,Template:Country data Kingdom of the Two Sicilies (page does not exist),Carbonari
1820,1822,Ali Pasha's Revolt,Ottoman Empire,Ali Pasha of Yanina
1820,1822,Ecuadorian War of Independence,Guayaquil,"Spain, Mid-nineteenth century Spain"
1820,1823,Trienio Liberal,"Spain, Mid-nineteenth century Spain, France, Bourbon Restoration","Spain, Cortes Generales"
1820,1875,Texas–Indian wars,"Spain, Mexico, Republic of Texas, United States",Comanche
1821,1821,Niš Rebellion (1821),Ottoman Empire,
1821,1823,Ottoman–Persian War (1821–23),Qajar dynasty,Ottoman Empire
1821,1832,Greek War of Independence,"Greece, First Hellenic Republic, British Empire, United States of the Ionian Islands, France, Bourbon Restoration, Russian Empire","Ottoman Empire, Egypt, Egypt Eyalet, Ottoman Empire, Beylik of Tunis"
1821,1837,Padri War,Dutch Empire,West Sumatra
1821,1829,Spanish attempts to reconquer Mexico,Mexico,"Spain, Spanish Empire"
1821,1870,Comanche–Mexico Wars,"Comanche, Kiowa","Mexico, Mexico"
1822,1824,War of Independence of Brazil,Empire of Brazil,Kingdom of Portugal
1822,1844,Haitian occupation of Santo Domingo,Republic of Spanish Haiti,Haiti
1823,1823,Hundred Thousand Sons of Saint Louis,"Kingdom of France, Bourbon Restoration, Spain","Spain, Cortes Generales"
1823,1823,Demerara rebellion of 1823,British Empire,
1823,1831,First Anglo-Ashanti War,British Empire,Ashanti Empire
1824,1824,Bathurst War,British Empire,Wiradjuri
1824,1824,Confederation of the Equator,Empire of Brazil,Confederation of the Equator
1824,1824,First Bone War,Dutch Empire,
1824,1824,April Revolt,,
1824,1826,First Anglo-Burmese War,"British Empire, British East India Company",Konbaung dynasty
1825,1825,Second Bone War,Dutch Empire,
1825,1828,Aegean Sea Anti-Piracy Operations of the United States,United States,
1825,1825,Decembrist revolt,Russian Empire,"Russian Empire, Union of Salvation"
1825,1828,Cisplatine War,"United Provinces of South America, Thirty-Three Orientals",Empire of Brazil
1825,1830,Java War,Dutch Empire,Diponegoro
1825,1825,Franco-Trarzan War of 1825,"France, Comte de Villèle",
1826,1828,Russo-Persian War (1826–28),Russian Empire,Qajar dynasty
1826,1828,Chao Anu Rebellion,Rattanakosin Kingdom,"Anouvong, Kingdom of Vientiane"
1827,1827,Winnebago War,"United States, Wisconsin",Ho-Chunk
1828,1829,Gran Colombia–Peru War,Gran Colombia,Peru
1828,1828,Irish and German Mercenary Soldiers' Revolt,Empire of Brazil,
1828,1834,Liberal Wars,"Mary II of Portugal, United Kingdom of Great Britain and Ireland, Spain, History of Spain (1814–73)","Portugal, Miguel I of Portugal"
1828,1829,Russo-Turkish War (1828–29),Russian Empire,Ottoman Empire
1828,1832,Black War,British Empire,Tasmanian Aborigines
1829,1830,Chilean Civil War of 1829–30,"Chile, Pelucones, Chile, Military of Chile, Chilean Army, Chilean Navy","Chile, Pipiolos"
1830,1830,July Revolution,"France, House of Orléans",House of Bourbon
1830,1831,November Uprising,Russian Empire,Poland
1830,1831,Belgian Revolution,Belgium,United Kingdom of the Netherlands
1830,1847,French conquest of Algeria,France,
1830,1850,Port Phillip District Wars,British Empire,
1831,1831,Dutch expedition on the west coast of Sumatra,Dutch Empire,
1831,1834,Siamese–Vietnamese War (1831–34),"Nguyen dynasty, Dark ages of Cambodia",Thailand
1831,1832,Baptist War,,
1831,1832,Naning War,East India Company,
1831,1833,Egyptian–Ottoman War (1831–33),Egypt,"Ottoman Empire, Russian Empire"
1831,1833,Yagan,British Empire,Yagan
1831,1933,Bosnian Uprising (1831–32),Ottoman Empire,
1832,1832,Black Hawk War,"United States, Ho-Chunk, Menominee, Potawatomi","Black Hawk (chief), British Band, Sac (people), Fox (tribe), Kickapoo people"
1832,1832,June Rebellion,"France, July Monarchy",
1833,1834,Desert Campaign (1833–34),Argentina,
1833,1835,Lê Văn Khôi revolt,Nguyễn Dynasty,Lê Văn Khôi
1833,1839,Albanian Revolts of 1833–39,Ottoman Empire,
1833,1840,First Carlist War,"Spain, Isabella II of Spain, British Empire, France, July Monarchy, Portugal, Mary II of Portugal","Carlism, Infante Carlos, Count of Molina, Portugal, Miguel of Portugal"
1834,1834,Peasants' Revolt of 1834 (Palestine),Egypt Eyalet,
1834,1834,Battle of Pinjarra,British Empire,Pinjarup
1834,1836,Xhosa Wars,"British Empire, United Kingdom, Khoikhoi",Xhosa people
1835,1835,Malê Revolt,Empire of Brazil,
1835,1836,Texas Revolution,Republic of Texas,Mexico
1835,1842,Second Seminole War,United States,Seminole
1835,1845,Ragamuffin War,Empire of Brazil,"Riograndense Republic, Juliana Republic"
1835,1840,Cabanagem,Empire of Brazil,
1836,1839,War of the Confederation,"Chile, Peru, Republic of North Peru, Argentina",Peru-Bolivian Confederation
1837,1838,Sabinada,Empire of Brazil,Bahia Republic (page does not exist)
1837,1838,Lower Canada Rebellion,"United Kingdom of Great Britain and Ireland, United Kingdom, British North America","Patriote movement, United States"
1837,1838,Upper Canada Rebellion,"United Kingdom, United Kingdom of Great Britain and Ireland, United Kingdom, British North America","Hunters' Lodges, Republic of Canada"
1837,1839,Dutch–Ahanta War,Dutch Empire,
1838,1838,Battle of Blood River,Voortrekkers,Zulu kingdom
1838,1838,1838 Mormon War,United States,"United States, Latter Day Saint movement"
1838,1839,Balaiada,"Empire of Brazil, Empire of Brazil",Balaios (page does not exist)
1838,1839,Pastry War,"France, July Monarchy",Mexico
1839,1841,Egyptian–Ottoman War (1839–41),"Eyalet of Egypt, France, July Monarchy, Spain, Mid-nineteenth century Spain","United Kingdom, British Empire, Austrian Empire, Austrian Empire, Russian Empire, Russian Empire, Kingdom of Prussia, Kingdom of Prussia, Ottoman Empire, Ottoman Empire"
1839,1840,Khivan campaign of 1839,Khanate of Khiva,"Russian Empire, Russian Empire"
1839,1841,War of the Supremes,,
1839,1842,First Anglo-Afghan War,Emirate of Afghanistan,"British Empire, East India Company"
1839,1842,First Opium War,British Empire,"Qing dynasty, Qing Dynasty"
1839,1847,Albanian Revolt of 1847,Ottoman Empire,
1839,1851,Uruguayan Civil War,"Colorado Party (Uruguay), Argentina, Unitarian Party, France, July Monarchy, Riograndense Republic, British Empire, Empire of Brazil, Redshirts (Italy)","National Party (Uruguay), Argentine Confederation"
1840s,1860s,Eumerella Wars,British Empire,Gunditjmara people
1841,1841,Niš Rebellion (1841),Ottoman Empire,
1841,1845,Siamese–Vietnamese War (1841–45),"Nguyen Dynasty, Dark ages of Cambodia","Thailand, Ang Duong"
1841,1842,Sino-Sikh War,Qing Dynasty,Sikh Empire
1842,1842,Shoorcha rebellion,"Russian Empire, Russian Empire",
1842,1868,Russian Conquest of Bukhara,"Russia, Russian Empire",Emirate of Bukhara
1843,1844,Albanian Revolt of 1843–44,Ottoman Empire,
1843,1843,Wairau Affray,Ngati Toa,United Kingdom
1843,1843,Battle of One Tree Hill,United Kingdom,
1843,1849,Dominican War of Independence,Dominican Republic,Haiti
1844,1844,Franco-Moroccan War,France,Morocco
1844,1847,Franco-Tahitian War,"France, July Monarchy","Kingdom of Tahiti, Kingdom of Huahine, Kingdom of Raiatea, Kingdom of Bora Bora, Tahaa"
1845,1845,Albanian Revolt of 1845,Ottoman Empire,
1845,1846,First Anglo-Sikh War,East India Company,Sikh Empire
1845,1846,Flagstaff War,Ngapuhi,"British Empire, Tamati Waka Nene"
1846,1846,Hutt Valley Campaign,"British Empire, United Kingdom, Te Ati Awa",Ngati Toa
1846,1846,Galician slaughter,Austrian Empire,
1846,1846,Dutch intervention in Northern Bali (1846),Netherlands,Bali
1846,1847,Xhosa Wars,British Empire,Xhosa people
1846,1849,Second Carlist War,"Spain, Isabella II of Spain",Carlism
1846,1848,Mexican–American War,United States,Mexico
1846,1848,Wanganui Campaign,"British Empire, United Kingdom, Kupapa",
1847,1847,Sonderbund War,Switzerland,
1847,1850,Sierra Gorda,Mexico,
1847,1855,Cayuse War,United States,Cayuse people
1847,1933,Caste War of Yucatán,Mexico,Maya peoples
1848,1849,Praieira revolt,Empire of Brazil,
1848,1848,Revolutions of 1848 in the Italian states,"Austrian Empire, Austrian Empire, Kingdom of Two Sicilies, Papal States","Sicilian revolution of independence of 1848, Five Days of Milan, Republic of San Marco, Roman Republic (19th century), United Provinces of Central Italy, Kingdom of Sardinia"
1848,1848,Greater Poland Uprising (1848),Kingdom of Prussia,Resistance movements in partitioned Poland (1795–1918)
1848,1848,French Revolution of 1848,"France, Second French Republic",July Monarchy
1848,1849,Revolutions of 1848 in the German states,"German Confederation, Austrian Empire, Grand Duchy of Baden, Kingdom of Prussia, Kingdom of Saxony, Bavaria",
1848,1849,Baden Revolution,Grand Duchy of Baden,Freischar
1849,1849,May Uprising in Dresden,"Kingdom of Prussia, Kingdom of Saxony",Freischar
1849,1849,Palatine uprising,Kingdom of Bavaria,Freischar
1848,1849,Revolutions of 1848 in the Habsburg areas,,
1848,1848,Wallachian Revolution of 1848,"Ottoman Empire, Russian Empire",Wallachian Revolution of 1848
1848,1848,Sicilian revolution of independence of 1848,"Kingdom of the Two Sicilies, Enlightenment in Spain","Kingdom of Sicily, Congress Poland"
1848,1848,Dutch intervention in Northern Bali (1848),Netherlands,Bali
1848,1848,Matale rebellion,British Empire,
1848,1849,First Italian War of Independence,Austrian Empire,"Kingdom of Sardinia, Grand Duchy of Tuscany, Papal States, Kingdom of the Two Sicilies"
1848,1849,Second Anglo-Sikh War,"British Empire, East India Company",Sikh Empire
1848,1849,Hungarian Revolution of 1848,"Austrian Empire, Russian Empire","Hungary, Hungarian State (1849)"
1848,1849,Serb Uprising of 1848–49,"Principality of Serbia, Austrian Empire","Hungary, Hungarian State (1849)"
1848,1849,Praieira revolt,Empire of Brazil,Praieiros (page does not exist)
1848,1851,First Schleswig War,Denmark,"Schleswig-Holstein, Kingdom of Prussia, Kingdom of Saxony"
1849,1850,Dutch intervention in Bali (1849),"Netherlands, Lombok","Buleleng, Jembrana, Klungkung"
1849,1855,Burmese–Siamese War (1849–55),Konbaung Dynasty,Rattanakosin Kingdom
1849,1924,Apache Wars,"United States, Confederate States of America","Comancheria, Chiricahua Apache, Jicarilla Apache, Mescalero Apache, Lipan Apache people, Western Apache, Plains Apache, Ute Tribe, Yavapai people, Comanche, Cheyenne, Kiowa, Quechan people, Mohave people"
1851,1851,1851 Chilean Revolution,Chile,
1850,1864,Taiping Rebellion,"Qing dynasty, British Empire, France, Second French Empire",Taiping Heavenly Kingdom
1850,1853,Xhosa Wars,British Empire,"Xhosa people, Khoikhoi, United Kingdom"
1851,1852,Platine War,"Empire of Brazil, Uruguay, Entre Ríos Province, Corrientes Province","Argentine Confederation, National Party (Uruguay)"
1851,1855,Palembang Highlands Expeditions,Dutch Empire,
1851,1865,California Indian Wars,United States,"Miwok, Yokut people, Cahuilla, Cupeño people, Quechan, Yurok people, Karuk, Tolowa, Nomlaki, Chimariko, Wintun, Hupa, Tsnungwe, Wiyot people, Whilkut, Yuki tribe"
1851,1868,Nian Rebellion,Qing dynasty,
1852,1852,Second Anglo-Burmese War,British Empire,Konbaung Dynasty
1852,1853,Montenegrin–Ottoman War (1852–53),Principality of Montenegro,Ottoman Empire
1852,1862,Herzegovina Uprising (1852–62),Ottoman Empire,
1853,1856,Crimean War,"British Empire, France, Second French Empire, Ottoman Empire, Kingdom of Sardinia","Russian Empire, Bulgarian Legion"
1854,1854,Epirus Revolt of 1854,Ottoman Empire,
1854,1855,Expedition against the Chinese in Montrado,Dutch Empire,
1854,1873,Miao Rebellion (1854–73),Qing dynasty,Miao people
1854,1860,French conquest of Senegal,"France, Second French Empire","Kingdom of Waalo, Toucouleur Empire"
1854,1856,Red Turban Rebellion (1854–56),Qing dynasty,Tiandihui
1854,1861,Bleeding Kansas,,
1855,1855,First Fiji Expedition,United States,Fiji
1855,1856,Nepalese–Tibetan War,Kingdom of Nepal,Tibet
1855,1856,Santhal rebellion,"British Raj, Zamindar",Santal
1855,1858,Yakima War,United States,Yakama
1855,1855,Rogue River Wars,United States,Rogue River (Oregon)
1855,1855,Battle of Ash Hollow,United States,"Brulé, Sioux"
1855,1856,Puget Sound War,United States,"Nisqually (tribe), Muckleshoot, Puyallup (tribe), Klickitat (tribe), Haida people, Tlingit people"
1855,1858,Seminole Wars,United States,Seminole
1855,1864,Nias Expedition,Dutch Empire,
1855,1867,Punti-Hakka Clan Wars,Punti,Hakka people
1856,1857,Campaign of 1856–57,"Costa Rica, Guatemala, El Salvador, Honduras, Nicaragua, Patricio Rivas, British Empire, Mosquito Coast","Republic of Sonora, Nicaragua"
1856,1860,Second Opium War,"United Kingdom, France, Second French Empire, United States","Qing dynasty, Qing Dynasty"
1856,1857,Anglo-Persian War,"United Kingdom, British Empire, East India Company, Afghanistan",Qajar Dynasty
1856,1873,Panthay Rebellion,"Qing dynasty, Qing Dynasty",Pingnan Guo
1856,1857,Cheyenne,United States,Cheyenne
1857,1858,Indian Rebellion of 1857,"British Empire, East India Company, Nepal, Jammu and Kashmir (princely state), Princely state","Sepoy, Mughal Empire, Nawab of Awadh, Jhansi (princely state) (page does not exist), Princely state"
1857,1858,Utah War,United States,"State of Deseret, Utah Territory, Nauvoo Legion"
1857,1860,Ecuadorian–Peruvian territorial dispute of 1857–60,Peru,Ecuador
1857,1861,Reform War,"Mexico, Liberal Party (Mexico), United States","Mexico, Conservative Party (Mexico)"
1857,1863,Pahang Civil War,"Pahang, Sultan Ahmad al-Muadzam Shah, Terengganu, Terengganu, Thailand, Rattanakosin Kingdom","Pahang, Tun Mutahir of Pahang, Johor, United Kingdom"
1858,1858,Mahtra War,Russian Empire,Estonians
1858,1858,Coeur d'Alene War,United States,"Spokane, Coeur d'Alene Tribe, Paloos (page does not exist), Northern Paiute"
1858,1858,Fraser Canyon War,"United States, British Empire",Nlaka'pamux
1858,1862,Cochinchina Campaign,"France, Second French Empire, Spain, Kingdom of Spain",Vietnam
1859,1859,Indigo revolt,British Empire,
1859,1859,Second Fiji Expedition,United States,Fiji
1859,1859,Second Italian War of Independence,"France, Second French Empire, Kingdom of Sardinia",Austrian Empire
1859,1859,Revolution of 1859,Chile,
1859,1859,Pig War (1859),United Kingdom,United States
1859,1860,Hispano-Moroccan War (1859–60),Spain,Morocco
1859,1863,Banjarmasin War,Dutch Empire,Sultanate of Banjar
1859,1863,Federal War,,
1860,1860,Paiute War,United States,Paiute
1860,1861,First Taranaki War,Maori King Movement,"United Kingdom, New Zealand, United Kingdom"
1860,1862,Colombian Civil War (1860–62),Granadine Confederation,Federal State of Cauca
1860,1890,Barasa–Ubaidat War,,
1861,1883,Occupation of Araucanía,Chile,Araucanía (historic region)
1861,1865,American Civil War,"United States, Union (American Civil War)",Confederate States of America
1861,1867,French intervention in Mexico,"Mexico, United Mexican States, United States of America","France, Second French Empire, Mexico, Second Mexican Empire, Austrian Empire, Belgium, Belgian Legion, Egypt Eyalet, Sudanese people, Spain, Kingdom of Spain, United Kingdom, United Kingdom"
1862,1862,Dakota War of 1862,United States,Dakota Sioux
1862,1877,Dungan Revolt (1862–77),Qing dynasty,Hui people
1863,1863,Ecuadorian–Colombian War,United States of Colombia,Ecuador
1863,1863,Battle of Shimonoseki Straits,United States,Choshu Domain
1863,1863,Bombardment of Kagoshima,British Empire,Satsuma Domain
1863,1864,Shimonoseki Campaign,"British Empire, Netherlands, United States, France, Second French Empire","Choshu Domain, Chofu Domain, Kiheitai"
1863,1864,Ambela Campaign,British Raj,"Pashtun people, Yusufzai"
1863,1864,Invasion of Waikato,"United Kingdom, New Zealand, Kupapa",Maori King Movement
1863,1864,Anglo-Ashanti Wars,Ashanti Empire,British Empire
1863,1865,Dominican Restoration War,Dominican Republic,Spain
1863,1865,January Uprising,Russian Empire,Polish National Government (January Uprising)
1863,1865,Colorado War,United States,"Cheyenne, Arapaho"
1863,1866,Second Taranaki War,British Empire,
1864,1864,Kinmon Incident,"Tokugawa shogunate, Satsuma Domain","Aizu, Choshu Domain, Sonno joi"
1864,1864,Second Schleswig War,"Germany, German Confederation, Austrian Empire, Kingdom of Prussia",Denmark
1864,1864,Tauranga Campaign,"United Kingdom, New Zealand, United Kingdom, Kupapa",Ngai Te Rangi
1864,1865,Uruguayan War,"Empire of Brazil, Colorado Party (Uruguay)",Uruguay
1864,1865,Mito Rebellion,"Tokugawa shogunate, Mito Domain",Sonno joi
1864,1865,Bhutan War,British Empire,Bhutan
1864,1865,Russo-Kokandian War (page does not exist),Russian Empire,"Khanate of Kokand, Emirate of Bukhara"
1864,1866,Chincha Islands War,"Peru, Chile, Ecuador, Bolivia",Spain
1864,1868,Snake War,"Shoshone, Bannock people, Paiute",United States
1864,1868,Pasoemah Expedition,Dutch Empire,
1864,1870,Paraguayan War,"Uruguay, Argentina, Empire of Brazil",Paraguay
1865,1872,Black Hawk War (1865–72),United States,"Ute people, Paiute, Navajo people, Apache"
1865,1865,Powder River Expedition (1865),United States,"Arapaho, Sioux, Cheyenne"
1865,1865,Morant Bay rebellion,British Empire,United Kingdom
1865,1870,Hualapai War (1865-70),United States,Hualapai
1865,1868,Basuto-Boer War (page does not exist),British Empire,Orange Free State
1865,1866,Bukharan-Kokandian War (page does not exist),Emirate of Bukhara,Khanate of Kokand
1865,1868,East Cape War,"United Kingdom, New Zealand, United Kingdom, Kupapa",Hauhau
1865,1868,Russo-Bukharan Wars (page does not exist),Russian Empire,Emirate of Bukhara
1865,1865,Hyogo naval expedition (page does not exist),British Empire,Emperor of Japan
1865,1890,Haw wars,"Thailand, Thailand",
1866,1866,Second Chōshū expedition,Choshu Domain,"Tokugawa shogunate, Aizu"
1866,1866,Austro-Prussian War,"Kingdom of Prussia, Kingdom of Italy, Grand Duchy of Mecklenburg-Schwerin, Grand Duchy of Oldenburg, Anhalt, Duchy of Brunswick, Saxe-Altenburg, Saxe-Coburg and Gotha, Germany, Waldeck (state), Schwarzburg-Sondershausen, Principality of Lippe, Bremen (state), Hamburg, Free City of Lübeck","Austrian Empire, Kingdom of Saxony, Kingdom of Bavaria, Grand Duchy of Baden, Kingdom of Württemberg, Province of Hanover, Kingdom of Hanover, Grand Duchy of Hesse, Electorate of Hesse, Germany, Reuss Elder Line, Saxe-Meiningen, Schaumburg-Lippe, Nassau (state)"
1866,1866,Third Italian War of Independence,Kingdom of Italy,Austrian Empire
1866,1868,Red Cloud's War,Lakota people,United States
1866,1866,Baikal Insurrection,"Russia, Russian Empire",Sybiracy
1866,1869,Cretan Revolt (1866–69),Crete,Ottoman Empire
1866,1866,French campaign against Korea (1866),"Joseon Dynasty, Korea",France
1867,1867,Andaman Islands Expedition,British Empire,Onge people
1867,1875,Comanche Campaign,United States,"Comanche, Arapaho, Kiowa, Southern Cheyenne"
1867,1868,Qatari–Bahraini War,Al Thani,Al Khalifa
1867,1874,Klang War,"Klang, Malaysia, Straits Settlements",
1868,1868,Glorious Revolution (Spain),Spain,Spain
1868,1868,Grito de Lares,Spain,
1868,1869,Titokowaru's War,"United Kingdom, New Zealand, Kupapa",Ngati Ruanui
1868,1869,Boshin War,"Emperor of Japan, Satsuma Domain, Choshu Domain, Tosa Domain, Hiroshima Domain, Saga Domain","Tokugawa shogunate, Ouetsu Reppan Domei, Republic of Ezo, France, Second French Empire"
1868,1868,British Expedition to Abyssinia,British Empire,Ethiopian Empire
1868,1872,War of the Abyssinian Succession (page does not exist),Ethiopian Empire,Ethiopian Empire
1868,1872,Te Kooti's War,"United Kingdom, New Zealand, United Kingdom, Kupapa",
1868,1878,Ten Years' War,Spain,Cuba
1869,1869,Haitian Revolution of 1869 (page does not exist),"Haiti, Nissage Saget","Haiti, Sylvain Salnave"
1869,1869,1869 uprising in Krivošije,,Template:Country data Austria Hungary (page does not exist)
1869,1869,Red River Rebellion,"Canada, Métis people (Canada), British Empire","Métis people (Canada), Louis Riel"
1870,1871,Franco-Prussian War,"North German Confederation, Kingdom of Bavaria, Grand Duchy of Baden, Kingdom of Württemberg","France, Second French Empire"
1870,1900,Sheep Wars,United States,United States
1870,1890,Kalkadoon Wars,,Kalkadoon people
1871,1871,Paris Commune,"France, French Third Republic",Communards
1871,1871,United States expedition to Korea,United States,"Joseon Dynasty, Korea"
1871,1872,Nukapu Expedition,United Kingdom,Nukapu
1872,1876,Third Carlist War,"Kingdom of Spain, Amadeus I of Spain, First Spanish Republic, Kingdom of Spain, Alfonso XII of Spain",Carlists
1872,1873,Modoc War,United States,Modoc people
1873,1873,Khivan campaign of 1873,"Russian Empire, Russian Empire",Khanate of Khiva
1873,1914,Aceh War,"Netherlands, Dutch East Indies",Aceh Sultanate
1873,1874,Pabna Peasant Uprisings,British Empire,
1873,1874,Anglo-Ashanti wars,British Empire,Ashanti Empire
1873,1888,Colfax County War,United States,"United States, Apaches"
1873,1874,Cantonal Revolution,First Spanish Republic,
1874,1874,Brooks–Baxter War,United States Republican Party,Liberal Republican Party (United States)
1874,1874,Saga Rebellion,Empire of Japan,Saga Domain
1874,1874,Japanese invasion of Taiwan (1874),Empire of Japan,Qing dynasty
1874,1875,Red River War,United States,"Comanche, Kiowa, Cheyenne, Arapaho"
1875,1875,Ganghwa Island incident,Empire of Japan,"Korea, Joseon Dynasty"
1875,1875,Las Cuevas War,"United States, Texas Ranger Division",Mexico
1875,1876,Perak War,British Empire,
1875,1876,Mason County War,"United States, United States","United States, Texas Ranger Division"
1876,1876,Shinpuren Rebellion,Empire of Japan,Kumamoto Domain
1876,1876,Razlovtsi insurrection,Ottoman Empire,
1876,1876,April Uprising,Ottoman Empire,
1876,1876,Akizuki Rebellion,Empire of Japan,
1876,1876,Hagi Rebellion,Empire of Japan,Choshu Domain
1876,1877,Colombian Civil War of 1876,,
1876,1877,Great Sioux War of 1876,"United States, Shoshone, Crow Nation, Pawnee people","Arapaho, Cheyenne, Lakota people"
1876,1878,Qing reconquest of Xinjiang,Qing dynasty,Kashgaria
1876,1878,Montenegrin–Ottoman War (1876–78),Principality of Montenegro,Ottoman Empire
1877,1877,Nez Perce War,United States,Nez Perce tribe
1877,1877,Satsuma Rebellion,Empire of Japan,Satsuma Domain
1877,1878,San Elizario Salt War,United States,
1877,1879,Xhosa Wars,"British Empire, Mfengu",
1877,1878,Russo-Turkish War (1877–78),"Russian Empire, Serbia, Principality of Serbia, Romania, Danubian Principalities, Principality of Montenegro, Opalchentsi",Ottoman Empire
1877,1879,Cheyenne War,United States,Cheyenne
1878,1878,Bannock War,United States,"Bannock (tribe), Northern Shoshone"
1878,1878,Kanak people,"France, French Third Republic",Kanak people
1878,1878,Lincoln County War,"United States, United States",United States
1878,1878,Kumanovo Uprising,Ottoman Empire,Principality of Serbia
1878,1879,Kresna–Razlog Uprising,Ottoman Empire,
1878,1880,Second Anglo-Afghan War,British Empire,Emirate of Afghanistan
1878,1885,Conquest of the Desert,Argentina,
1878,1888,Nauruan Tribal War,,
1879,1880,Little War (Cuba),"Spain, Kingdom of Spain",Cuba
1879,1879,Jementah Civil War,"Johor, Johor Sultanate",
1879,1879,Anglo-Zulu War,"British Empire, United Kingdom, Colony of Natal",Zulu Kingdom
1879,1883,War of the Pacific,Chile,"Peru, Bolivia"
1879,1879,Sheepeater Indian War,United States,Shoshone people
1879,1881,Victorio's War,"United States, United States, Mexico, Mexico",Apache
1880,1881,Basuto Gun War,Basotho,British Cape Colony
1880,1881,Brsjak Revolt,Ottoman Empire,
1880,1881,First Boer War,South African Republic,British Empire
1881,1881,Mapuche uprising of 1881,Chile,
1881,1881,French occupation of Tunisia,France,Tunisia
1881,1899,Mahdist War,"Egypt, British Empire, Kingdom of Italy, Belgium, Ethiopian Empire","Muhammad Ahmad, Sudan"
1882,1898,Mandingo Wars,"France, French Third Republic",Wassoulou Empire
1882,1892,Pleasant Valley War,"United States, United States, Arizona Ranger",United States
1883,1914,Ekumeku Movement,British Empire,
1883,1885,First Madagascar expedition,"France, French Third Republic",Merina Kingdom
1883,1886,Tonkin Campaign,"France, French Third Republic","Qing dynasty, Black Flag Army, Nguyen Dynasty"
1884,1884,Chichibu Incident,Empire of Japan,
1884,1885,Sino-French War,"France, French Third Republic, Annam (French protectorate)","Qing dynasty, Nguyen Dynasty, Black Flag Army"
1884,1885,Mandor Rebellion,Dutch Empire,
1885,1885,North-West Rebellion,Canada,"Provisional Government of Saskatchewan, Cree, Assiniboine people"
1885,1885,Serbo-Bulgarian War,"Bulgaria, History of Independent Bulgaria",Kingdom of Serbia
1885,1885,Third Anglo-Burmese War,British Empire,Konbaung dynasty
1885,1885,Jambi Uprising,Dutch Empire,
1886,1894,Samoan Civil War,"Samoa, Samoa","Samoa, Samoa"
1887,1895,Hawaiian rebellions (1887–95),"United States, Committee of Safety (Hawaii), Hawaii, Republic of Hawaii, United States","Kingdom of Hawaii, United States, Empire of Japan, United Kingdom, Wilcox rebellion of 1889, Wilcox rebellions"
1888,1888,Sikkim Expedition,British Empire,Tibet
1888,1889,Abushiri Revolt,German Empire,Abushiri ibn Salim al-Harthi
1889,1890,Ammiyya,,
1889,1893,Johnson County War,"United States, Cattle baron","United States, Homestead principle"
1890,1890,Edi Expedition,Dutch Empire,
1890,1916,First Franco-Dahomean War,"Porto-Novo, France, French Third Republic",Kingdom of Dahomey
1890,1916,Castaic Range War,"United States, United States, Los Angeles Rangers",United States
1895,1900,Tom Horn,"United States, Cattle baron","United States, Homestead principle"
1890,1891,Ghost Dance War,United States,Sioux
1891,1891,Hunza-Nagar Campaign,British Raj,"Hunza (princely state), Nagar (princely state)"
1891,1891,Anglo-Manipur War,British Raj,Manipur (princely state)
1891,1891,Chilean Civil War of 1891,"Chile, Government Junta of Chile (1891), Navy of Chile","Chile, Chile, Army of Chile"
1891,1893,Garza Revolution,"Mexico, United States",
1891,1894,Dato'Bahaman (page does not exist),British Empire,
1892,1892,Hazaras,Emirate of Afghanistan,Hazaras
1892,1894,Second Franco-Dahomean War,"France, French Third Republic",Kingdom of Dahomey
1892,1894,Congo Arab war,Congo Free State,"Zanzibar, Arab, Slave trade"
1893,1893,Hazaras,Emirate of Afghanistan,Hazaras
1893,1893,Battle of Al Wajbah,Al Thani,Ottoman Empire
1893,1893,Franco-Siamese War,"France, French Indochina",Thailand
1893,1908,Macedonian Struggle,"Ethniki Etaireia, Internal Macedonian Revolutionary Organization, Supreme Macedonian-Adrianople Committee, Bulgarian Secret Revolutionary Brotherhood, Boatmen of Thessaloniki, Serbian Chetnik Organization",Ottoman Empire
1893,1894,First Melillan campaign,"Spain, Spain under the Restoration","Rif, Kingdom of Morocco"
1893,1894,First Matabele War,"British South Africa Company, Tswana people",Northern Ndebele people
1893,1894,Revolta da Armada,"Brazil, First Brazilian Republic",Empire of Brazil
